0.0	1.51307211865
0.01	2.41165958723
0.02	3.35314414803
0.03	4.26950347081
0.04	5.5192701774
0.05	6.4546962305
0.06	7.42851595853
0.07	8.37413921219
0.08	9.50451269241
0.09	10.6711852293
0.1	11.7366233769
0.11	12.890754885
0.12	13.9200521665
0.13	14.8713565604
0.14	15.9941811904
0.15	17.0908749853
0.16	18.1813575706
0.17	19.4588618348
0.18	20.4174090928
0.19	21.6005239495
0.2	22.8051181959
0.21	24.2104773463
0.22	25.4861690569
0.23	26.5989747604
0.24	27.8813580636
0.25	29.1980145143
0.26	30.6098606943
0.27	32.1432083691
0.28	33.5361868362
0.29	34.8833292258
0.3	36.4585932959
0.31	38.0366027739
0.32	39.5875592329
0.33	40.9522224393
0.34	42.8024183619
0.35	44.3543195057
0.36	46.1951697926
0.37	47.7245816547
0.38	49.2220307366
0.39	50.7703877432
0.4	52.4390770317
0.41	53.9864710078
0.42	55.5854194417
0.43	57.2464193044
0.44	59.0932722515
0.45	60.7671759674
0.46	62.8181779232
0.47	64.6842717203
0.48	66.3186219862
0.49	68.2286949896
0.5	70.1132141462
0.51	72.2939230279
0.52	74.3670852518
0.53	76.5975496188
0.54	78.544256442
0.55	80.4507090145
0.56	82.7937029513
0.57	84.9691846278
0.58	87.3828230246
0.59	89.7197257304
0.6	92.00241
0.61	94.4186811313
0.62	96.943551982
0.63	99.8056779365
0.64	102.399041218
0.65	105.1721953
0.66	108.392505231
0.67	111.037352632
0.68	113.932176727
0.69	117.220833884
0.7	120.103951752
0.71	123.980187189
0.72	127.181862128
0.73	130.652098424
0.74	134.06436624
0.75	138.894177191
0.76	143.086816916
0.77	147.9042842
0.78	152.890390139
0.79	157.045725749
0.8	161.698876287
0.81	166.334255334
0.82	171.853517639
0.83	177.380557317
0.84	183.95285104
0.85	190.139102118
0.86	196.143208861
0.87	204.324093819
0.88	212.188593657
0.89	223.225830413
0.9	232.285050179
0.91	242.867211788
0.92	255.668058833
0.93	268.111068348
0.94	282.308819315
0.95	300.25314251
0.96	326.405068623
0.97	357.726794528
0.98	396.246932974
0.99	471.175038547
