0.0	192.806637096
0.01	286.33154444
0.02	309.725629789
0.03	322.019793689
0.04	336.839156843
0.05	348.337084755
0.06	358.250241386
0.07	365.931415636
0.08	372.882056186
0.09	380.497655375
0.1	387.350025081
0.11	393.189181955
0.12	399.353453518
0.13	405.856034624
0.14	410.382945118
0.15	415.93952704
0.16	421.204315861
0.17	426.767294459
0.18	431.882671219
0.19	436.339675641
0.2	441.760339776
0.21	446.834123828
0.22	451.23611818
0.23	456.256970192
0.24	461.11226893
0.25	465.102116071
0.26	469.42420668
0.27	473.570043896
0.28	477.432915278
0.29	482.082665701
0.3	487.257363869
0.31	491.068192626
0.32	495.67716987
0.33	500.144585219
0.34	504.404689449
0.35	508.17344381
0.36	512.898128637
0.37	517.319359661
0.38	521.459299084
0.39	525.325710128
0.4	530.37585788
0.41	534.214403543
0.42	537.928274145
0.43	541.9126762
0.44	546.15873308
0.45	550.453203471
0.46	554.279181906
0.47	559.669426158
0.48	563.811646596
0.49	568.254864225
0.5	572.401181973
0.51	576.481977372
0.52	580.580832843
0.53	585.328459101
0.54	590.059206065
0.55	594.105186196
0.56	598.685576633
0.57	603.502665018
0.58	608.035356915
0.59	612.205351369
0.6	616.564350123
0.61	621.316891112
0.62	625.655492076
0.63	630.211807974
0.64	634.90684028
0.65	639.650734275
0.66	643.181017006
0.67	647.888677927
0.68	653.728724148
0.69	658.182080779
0.7	665.168872405
0.71	670.786215383
0.72	677.074271825
0.73	683.195138695
0.74	689.904584197
0.75	696.251936487
0.76	702.031184686
0.77	709.432917618
0.78	716.462333992
0.79	722.913831007
0.8	730.894938963
0.81	737.735945827
0.82	744.999735577
0.83	753.945578471
0.84	761.975763477
0.85	770.500225722
0.86	780.181617159
0.87	789.415793479
0.88	799.933074571
0.89	810.562003406
0.9	823.04986441
0.91	837.315512474
0.92	853.852590274
0.93	871.914928295
0.94	893.328016934
0.95	916.559721609
0.96	945.613831045
0.97	985.039202963
0.98	1025.31545931
0.99	1101.88228231
